Perognathus.longimembris	2.19722
Plecotus.rafinesquii	2.1972245773
Rhinolophus.thomasi	2.1972245773
Eptesicus.brasiliensis	2.1972245773
Nycticeius.sanborni	2.2082744135
Mus.booduga	2.22138
Blarina.carolinensis	2.22462
Lasiurus.seminolus	2.2300144002
Rhinolophus.paradoxolophus	2.2300144002
Sorex.coronatus	2.26176
Hipposideros.ridleyi	2.2617630985
Choeroniscus.minor	2.2617630985
Rhinolophus.landeri	2.2721258855
Rhinolophus.mehelyi	2.2721258855
Crocidura.mariquensis	2.27213
Myotis.annectans	2.2823823857
Glossophaga.soricina	2.2925347571
Crocidura.leucodon	2.29354
Myotis.bechsteini	2.302585093
Microgale.jobihely	2.302585093
Desmodilliscus.braueri	2.30259
Neurotrichus.gibbsii	2.30259
Diplomesodon.pulchellum	2.30259
Kerivoula.papillosa	2.3125354238
Pipistrellus.ceylonicus	2.3125354238
Microgale.principula	2.32238772
Reithrodontomys.humulis	2.33214
Pipistrellus.circumdatus	2.3418058061
Hipposideros.galeritus	2.3418058061
Eptesicus.flavescens	2.3513752572
Ametrida.centurio	2.3513752572
Dendromus.mesomelas	2.36085
Anoura.caudifera	2.3608540011
Pteronotus.davyi	2.3608540011
Nycteris.arge	2.3608540011
Hipposideros.caffer	2.3702437415
Lonchophylla.mordax	2.3702437415
Dilambdogale.gheerbranti	2.379546134
Nyctophilus.timoriensis	2.3887627892
Lasiurus.ega	2.3978952728
Myotis.altarium	2.3978952728
Pseudomys.delicatulus	2.3979
Pseudomys.pilligaensis	2.3979
Myosorex.varius	2.3979
Reithrodontomys.megalotis	2.40062
Reithrodontomys.raviventris	2.40243
Tadarida.brasiliensis	2.4069451083
Myotis.adversus	2.4159137783
Mus.caroli	2.42037
Glossophaga.longirostris	2.4248027257
Miniopterus.schreibersi	2.4270126714
Hipposideros.calcaratus	2.4292177439
Miniopterus.fuscus	2.4336133554
Hipposideros.speoris	2.4423470354
Coleura.afra	2.4423470354
Mormopterus.jugularis	2.4423470354
Perognathus.fasciatus	2.44669
Crocidura.russula	2.45359
Chalinolobus.gouldii	2.4595888418
Gerbillus.henleyi	2.45959
Microgale.taiva	2.468099531
Artibeus.phaeotis	2.4680995315
Mimon.crenulatum	2.4680995315
Pseudomys.hermannsburgensis	2.48491
Scotinomys.teguina	2.48491
Crocidura.fuliginosa	2.48491
Rhinolophus.acuminatus	2.4932054526
